entry_id,cell_id,proj,layer
audit_firm,p4_t0_e3,0.48793086409568787,48
audit_firm,p4_t1_e0,0.4865763783454895,48
audit_firm,p4_t1_e1,0.48318344354629517,48
audit_firm,p4_t1_e2,0.4926271438598633,48
audit_firm,p4_t1_e3,0.48676958680152893,48
audit_firm,p4_t2_e0,0.4845447242259979,48
audit_firm,p4_t2_e1,0.4822615683078766,48
audit_firm,p4_t2_e2,0.4872027337551117,48
audit_firm,p4_t2_e3,0.4832877814769745,48
audit_firm,p4_t3_e0,0.484607070684433,48
audit_firm,p4_t3_e1,0.4845225214958191,48
audit_firm,p4_t3_e2,0.4921548068523407,48
audit_firm,p4_t3_e3,0.4871450364589691,48
audit_firm,p4_t4_e0,0.49217382073402405,48
audit_firm,p4_t4_e1,0.49135202169418335,48
audit_firm,p4_t4_e2,0.49736207723617554,48
audit_firm,p4_t4_e3,0.49417850375175476,48
backend_language,p0_t0_e0,-0.03420330211520195,48
backend_language,p0_t0_e1,-0.0349518284201622,48
backend_language,p0_t0_e2,-0.036549635231494904,48
backend_language,p0_t0_e3,-0.025761842727661133,48
backend_language,p0_t1_e0,-0.04063110426068306,48
backend_language,p0_t1_e1,-0.038709282875061035,48
backend_language,p0_t1_e2,-0.040053583681583405,48
backend_language,p0_t1_e3,-0.030108723789453506,48
backend_language,p0_t2_e0,-0.044482868164777756,48
backend_language,p0_t2_e1,-0.04508250206708908,48
backend_language,p0_t2_e2,-0.04569895938038826,48
backend_language,p0_t2_e3,-0.03648835048079491,48
backend_language,p0_t3_e0,-0.03861690312623978,48
backend_language,p0_t3_e1,-0.03797667473554611,48
backend_language,p0_t3_e2,-0.03742048516869545,48
backend_language,p0_t3_e3,-0.029003551229834557,48
backend_language,p0_t4_e0,-0.03971278294920921,48
backend_language,p0_t4_e1,-0.03783538192510605,48
backend_language,p0_t4_e2,-0.03729824721813202,48
backend_language,p0_t4_e3,-0.03070743754506111,48
backend_language,p1_t0_e0,-0.04051900655031204,48
backend_language,p1_t0_e1,-0.038690414279699326,48
backend_language,p1_t0_e2,-0.0395694375038147,48
backend_language,p1_t0_e3,-0.02600853331387043,48
backend_language,p1_t1_e0,-0.043407224118709564,48
backend_language,p1_t1_e1,-0.0395856648683548,48
backend_language,p1_t1_e2,-0.041221681982278824,48
backend_language,p1_t1_e3,-0.03162975609302521,48
backend_language,p1_t2_e0,-0.04898599162697792,48
backend_language,p1_t2_e1,-0.04859725758433342,48
backend_language,p1_t2_e2,-0.04473191499710083,48
backend_language,p1_t2_e3,-0.03936506807804108,48
backend_language,p1_t3_e0,-0.04049554839730263,48
backend_language,p1_t3_e1,-0.03776564076542854,48
